지점,지점명,일시,기온(°C),강수량(mm),습도(%)
232,천안,2021-07-20 01:00,23.6,,99
232,천안,2021-07-20 02:00,23.3,,99
232,천안,2021-07-20 03:00,23.2,,99
232,천안,2021-07-20 04:00,22.9,,99
232,천안,2021-07-20 05:00,22.8,,99
232,천안,2021-07-20 06:00,22.9,,99
232,천안,2021-07-20 07:00,24.1,,96
232,천안,2021-07-20 08:00,25.9,,89
232,천안,2021-07-20 09:00,27.4,,84
232,천안,2021-07-20 10:00,27.8,,77
232,천안,2021-07-20 11:00,28.9,,72
232,천안,2021-07-20 12:00,28.7,,75
232,천안,2021-07-20 13:00,29.3,,71
232,천안,2021-07-20 14:00,29.9,,70
232,천안,2021-07-20 15:00,30.2,,70
232,천안,2021-07-20 16:00,30.1,,71
232,천안,2021-07-20 17:00,29.8,,75
232,천안,2021-07-20 18:00,29.8,,71
232,천안,2021-07-20 19:00,29.1,,81
232,천안,2021-07-20 20:00,27.6,,92
232,천안,2021-07-20 21:00,26,,98
232,천안,2021-07-20 22:00,25.3,,99
232,천안,2021-07-20 23:00,24.5,,99
232,천안,2021-07-21 00:00,24.1,,99
232,천안,2021-07-21 01:00,23.2,,99
232,천안,2021-07-21 02:00,22.8,,99
232,천안,2021-07-21 03:00,22.3,,99
232,천안,2021-07-21 04:00,22,,99
232,천안,2021-07-21 05:00,21.9,,99
232,천안,2021-07-21 06:00,22,,99
232,천안,2021-07-21 07:00,23.6,,99
232,천안,2021-07-21 08:00,26.3,,82
232,천안,2021-07-21 09:00,28.4,,66
232,천안,2021-07-21 10:00,29.4,,61
232,천안,2021-07-21 11:00,30.8,,56
232,천안,2021-07-21 12:00,31.3,,52
232,천안,2021-07-21 13:00,32,,51
232,천안,2021-07-21 14:00,32.7,,50
232,천안,2021-07-21 15:00,33.5,,46
232,천안,2021-07-21 16:00,33.5,,45
232,천안,2021-07-21 17:00,33.4,,45
232,천안,2021-07-21 18:00,33.2,,47
232,천안,2021-07-21 19:00,31.7,,51
232,천안,2021-07-21 20:00,29.3,,64
232,천안,2021-07-21 21:00,26.1,,80
232,천안,2021-07-21 22:00,26.2,,82
232,천안,2021-07-21 23:00,25.9,,82
232,천안,2021-07-22 00:00,24.9,,87
232,천안,2021-07-22 01:00,23.9,,92
232,천안,2021-07-22 02:00,22.9,,94
232,천안,2021-07-22 03:00,22.1,,97
232,천안,2021-07-22 04:00,22,,97
232,천안,2021-07-22 05:00,21.4,,96
232,천안,2021-07-22 06:00,21.2,,98
232,천안,2021-07-22 07:00,23.5,,89
232,천안,2021-07-22 08:00,26.8,,74
232,천안,2021-07-22 09:00,27.9,,65
232,천안,2021-07-22 10:00,29,,64
232,천안,2021-07-22 11:00,29.8,,59
232,천안,2021-07-22 12:00,30.9,,57
232,천안,2021-07-22 13:00,32,,54
232,천안,2021-07-22 14:00,32.9,,49
232,천안,2021-07-22 15:00,32.8,,54
232,천안,2021-07-22 16:00,31.8,,56
232,천안,2021-07-22 17:00,31.1,,59
232,천안,2021-07-22 18:00,31.5,,61
232,천안,2021-07-22 19:00,30.5,,65
232,천안,2021-07-22 20:00,28.2,,76
232,천안,2021-07-22 21:00,26.2,,88
232,천안,2021-07-22 22:00,25.3,,93
232,천안,2021-07-22 23:00,24.6,,96
232,천안,2021-07-23 00:00,24.2,,97
232,천안,2021-07-23 01:00,23.5,,99
232,천안,2021-07-23 02:00,23.3,,99
232,천안,2021-07-23 03:00,22.8,,99
232,천안,2021-07-23 04:00,22.6,,99
232,천안,2021-07-23 05:00,22.1,,99
232,천안,2021-07-23 06:00,21.9,,99
232,천안,2021-07-23 07:00,23.8,,93
232,천안,2021-07-23 08:00,26.5,,78
232,천안,2021-07-23 09:00,28.1,,70
232,천안,2021-07-23 10:00,28.8,,68
232,천안,2021-07-23 11:00,30.2,,63
232,천안,2021-07-23 12:00,30.9,,54
232,천안,2021-07-23 13:00,32.1,,53
232,천안,2021-07-23 14:00,33.1,,51
232,천안,2021-07-23 15:00,33.5,,47
232,천안,2021-07-23 16:00,33.8,,43
232,천안,2021-07-23 17:00,33.3,,46
232,천안,2021-07-23 18:00,32.5,,49
232,천안,2021-07-23 19:00,31.7,,52
232,천안,2021-07-23 20:00,29.8,,62
232,천안,2021-07-23 21:00,27.4,,74
232,천안,2021-07-23 22:00,25.7,,88
232,천안,2021-07-23 23:00,25.2,,91
232,천안,2021-07-24 00:00,24.1,,96
232,천안,2021-07-24 01:00,23.9,,97
232,천안,2021-07-24 02:00,23.6,,97
232,천안,2021-07-24 03:00,23.2,,99
232,천안,2021-07-24 04:00,23.5,,98
232,천안,2021-07-24 05:00,23.2,,99
232,천안,2021-07-24 06:00,23.2,,99
232,천안,2021-07-24 07:00,24,,97
232,천안,2021-07-24 08:00,27.8,,75
232,천안,2021-07-24 09:00,28.1,,70
232,천안,2021-07-24 10:00,29.1,,65
232,천안,2021-07-24 11:00,31.1,,56
232,천안,2021-07-24 12:00,31.8,,54
